reference,source_material_label,source_rows_origin,C_pct,H_pct,O_pct,Fe_pct,H_C,O_C,ON_C,area_m2_g,As_initial_mg_L,temperature_C,pH,dose_g_L,capacity_mg_g,material_group
[30],nan,Su2025_SI_Table_S2,64.14,1.92,11.44,0.08,0.359,0.134,0.162,0.74,40.0,30.0,2.0,5.0,0.7063,[30]::profile_01
[30],nan,Su2025_SI_Table_S2,64.14,1.92,11.44,0.08,0.359,0.134,0.162,0.74,40.0,30.0,3.0,5.0,4.41,[30]::profile_01
[30],nan,Su2025_SI_Table_S2,64.14,1.92,11.44,0.08,0.359,0.134,0.162,0.74,40.0,30.0,6.0,5.0,0.9681,[30]::profile_01
[30],nan,Su2025_SI_Table_S2,64.14,1.92,11.44,0.08,0.359,0.134,0.162,0.74,40.0,30.0,8.0,5.0,0.5203,[30]::profile_01
[30],nan,Su2025_SI_Table_S2,64.14,1.92,11.44,0.08,0.359,0.134,0.162,0.74,40.0,30.0,10.0,5.0,0.4445,[30]::profile_01
[30],nan,Su2025_SI_Table_S2,64.14,1.92,11.44,0.08,0.359,0.134,0.162,0.74,40.0,30.0,12.0,5.0,0.348,[30]::profile_01
[30],nan,Su2025_SI_Table_S2,64.14,1.92,11.44,0.08,0.359,0.134,0.162,0.74,150.0,30.0,3.0,5.0,1.93,[30]::profile_01
[33],nan,Su2025_SI_Table_S2,59.95,1.75,18.08,6.05,0.35,0.226,0.251,297.13,10.0,25.0,2.0,5.0,1.0635,[33]::profile_02
[33],nan,Su2025_SI_Table_S2,59.95,1.75,18.08,6.05,0.35,0.226,0.251,297.13,10.0,25.0,4.0,5.0,1.2529,[33]::profile_02
[33],nan,Su2025_SI_Table_S2,59.95,1.75,18.08,6.05,0.35,0.226,0.251,297.13,10.0,25.0,5.0,5.0,1.5326,[33]::profile_02
[33],nan,Su2025_SI_Table_S2,59.95,1.75,18.08,6.05,0.35,0.226,0.251,297.13,10.0,25.0,6.0,5.0,1.6745,[33]::profile_02
[33],nan,Su2025_SI_Table_S2,59.95,1.75,18.08,6.05,0.35,0.226,0.251,297.13,10.0,25.0,7.0,0.6,0.7035,[33]::profile_02
[33],nan,Su2025_SI_Table_S2,59.95,1.75,18.08,6.05,0.35,0.226,0.251,297.13,10.0,25.0,7.0,1.25,0.6488,[33]::profile_02
[33],nan,Su2025_SI_Table_S2,59.95,1.75,18.08,6.05,0.35,0.226,0.251,297.13,10.0,25.0,7.0,2.5,1.101,[33]::profile_02
[33],nan,Su2025_SI_Table_S2,59.95,1.75,18.08,6.05,0.35,0.226,0.251,297.13,10.0,25.0,7.0,3.8,1.0215,[33]::profile_02
[33],nan,Su2025_SI_Table_S2,59.95,1.75,18.08,6.05,0.35,0.226,0.251,297.13,10.0,25.0,7.0,5.0,1.7179,[33]::profile_02
[33],nan,Su2025_SI_Table_S2,59.95,1.75,18.08,6.05,0.35,0.226,0.251,297.13,10.0,25.0,7.0,6.3,1.4919,[33]::profile_02
[33],nan,Su2025_SI_Table_S2,59.95,1.75,18.08,6.05,0.35,0.226,0.251,297.13,10.0,25.0,7.0,7.5,1.3283,[33]::profile_02
[33],nan,Su2025_SI_Table_S2,59.95,1.75,18.08,6.05,0.35,0.226,0.251,297.13,10.0,25.0,8.0,5.0,1.414,[33]::profile_02
[33],nan,Su2025_SI_Table_S2,59.95,1.75,18.08,6.05,0.35,0.226,0.251,297.13,10.0,25.0,10.0,5.0,1.4365,[33]::profile_02
[33],nan,Su2025_SI_Table_S2,67.8,1.15,17.99,0.05,0.204,0.199,0.199,71.04,10.0,25.0,2.0,5.0,0.08,[33]::profile_01
[33],nan,Su2025_SI_Table_S2,67.8,1.15,17.99,0.05,0.204,0.199,0.199,71.04,10.0,25.0,4.0,5.0,0.1715,[33]::profile_01
[33],nan,Su2025_SI_Table_S2,67.8,1.15,17.99,0.05,0.204,0.199,0.199,71.04,10.0,25.0,5.0,5.0,0.1247,[33]::profile_01
[33],nan,Su2025_SI_Table_S2,67.8,1.15,17.99,0.05,0.204,0.199,0.199,71.04,10.0,25.0,6.0,5.0,0.1178,[33]::profile_01
[33],nan,Su2025_SI_Table_S2,67.8,1.15,17.99,0.05,0.204,0.199,0.199,71.04,10.0,25.0,7.0,5.0,0.0118,[33]::profile_01
[33],nan,Su2025_SI_Table_S2,67.8,1.15,17.99,0.05,0.204,0.199,0.199,71.04,10.0,25.0,8.0,5.0,0.1186,[33]::profile_01
[33],nan,Su2025_SI_Table_S2,67.8,1.15,17.99,0.05,0.204,0.199,0.199,71.04,10.0,25.0,10.0,5.0,0.112,[33]::profile_01
[35],nan,Su2025_SI_Table_S2,48.6,12.2,31.7,0.0,3.012,0.489,0.512,20.7,5.0,25.0,6.0,2.0,3.1946,[35]::profile_01
[35],nan,Su2025_SI_Table_S2,48.6,12.2,31.7,0.0,3.012,0.489,0.512,20.7,50.0,25.0,6.0,2.0,22.1,[35]::profile_01
[39],BCA-Fe,Alchouron_thesis_Figure_3.2_digitized,10.62,0.57,41.23,18.7,0.644,2.912,2.942,482.4,10.0,25.0,5.0,2.0,1.3091829993393507,[39]::profile_04
[39],BCA-Fe,Alchouron_thesis_Figure_3.2_digitized,10.62,0.57,41.23,18.7,0.644,2.912,2.942,482.4,10.0,25.0,7.0,2.0,2.4576084562871596,[39]::profile_04
[39],BCA-Fe,Alchouron_thesis_Figure_3.2_digitized,10.62,0.57,41.23,18.7,0.644,2.912,2.942,482.4,10.0,25.0,9.0,2.0,2.0491081259634423,[39]::profile_04
[39],BC-Fe,Alchouron_thesis_Figure_3.2_digitized,16.09,0.86,15.25,17.9,0.641,0.711,0.741,28.9,10.0,25.0,5.0,2.0,4.785289583792115,[39]::profile_03
[39],BC-Fe,Alchouron_thesis_Figure_3.2_digitized,16.09,0.86,15.25,17.9,0.641,0.711,0.741,28.9,10.0,25.0,7.0,2.0,4.985685972252806,[39]::profile_03
[39],BC-Fe,Alchouron_thesis_Figure_3.2_digitized,16.09,0.86,15.25,17.9,0.641,0.711,0.741,28.9,10.0,25.0,9.0,2.0,4.985685972252806,[39]::profile_03
[39],BC,Alchouron_thesis_Figure_3.2_digitized,33.57,1.01,30.42,0.09,0.361,0.68,0.704,6.7,10.0,25.0,5.0,2.0,1.6637304558467279,[39]::profile_01
[39],BC,Alchouron_thesis_Figure_3.2_digitized,33.57,1.01,30.42,0.09,0.361,0.68,0.704,6.7,10.0,25.0,7.0,2.0,2.2726271746311366,[39]::profile_01
[39],BC,Alchouron_thesis_Figure_3.2_digitized,33.57,1.01,30.42,0.09,0.361,0.68,0.704,6.7,10.0,25.0,9.0,2.0,2.0336930191587737,[39]::profile_01
[39],BCA,Alchouron_thesis_Figure_3.2_digitized,40.98,2.03,45.99,0.08,0.594,0.842,0.854,1240.0,10.0,25.0,5.0,2.0,1.9643250385377653,[39]::profile_02
[39],BCA,Alchouron_thesis_Figure_3.2_digitized,40.98,2.03,45.99,0.08,0.594,0.842,0.854,1240.0,10.0,25.0,7.0,2.0,2.1338912133891195,[39]::profile_02
[39],BCA,Alchouron_thesis_Figure_3.2_digitized,40.98,2.03,45.99,0.08,0.594,0.842,0.854,1240.0,10.0,25.0,9.0,2.0,2.4267782426778224,[39]::profile_02
[40],CS700,Sun2022_Figure_3_digitized_AsV,16.86,0.32,2.17,0.0,0.228,0.097,0.129,21.75,40.0,25.0,2.0,3.0,1.27,[40]::profile_03
[40],CS700,Sun2022_Figure_3_digitized_AsV,16.86,0.32,2.17,0.0,0.228,0.097,0.129,21.75,40.0,25.0,3.0,3.0,2.48,[40]::profile_03
[40],CS700,Sun2022_Figure_3_digitized_AsV,16.86,0.32,2.17,0.0,0.228,0.097,0.129,21.75,40.0,25.0,4.0,3.0,3.6,[40]::profile_03
[40],CS700,Sun2022_Figure_3_digitized_AsV,16.86,0.32,2.17,0.0,0.228,0.097,0.129,21.75,40.0,25.0,5.0,3.0,3.03,[40]::profile_03
[40],CS700,Sun2022_Figure_3_digitized_AsV,16.86,0.32,2.17,0.0,0.228,0.097,0.129,21.75,40.0,25.0,6.0,3.0,3.17,[40]::profile_03
[40],CS700,Sun2022_Figure_3_digitized_AsV,16.86,0.32,2.17,0.0,0.228,0.097,0.129,21.75,40.0,25.0,7.0,3.0,3.37,[40]::profile_03
[40],CS700,Sun2022_Figure_3_digitized_AsV,16.86,0.32,2.17,0.0,0.228,0.097,0.129,21.75,40.0,25.0,8.0,3.0,3.13,[40]::profile_03
[40],CS700,Sun2022_Figure_3_digitized_AsV,16.86,0.32,2.17,0.0,0.228,0.097,0.129,21.75,40.0,25.0,9.0,3.0,3.28,[40]::profile_03
[40],CS700,Sun2022_Figure_3_digitized_AsV,16.86,0.32,2.17,0.0,0.228,0.097,0.129,21.75,40.0,25.0,10.0,3.0,3.21,[40]::profile_03
[40],CS700,Sun2022_Figure_3_digitized_AsV,16.86,0.32,2.17,0.0,0.228,0.097,0.129,21.75,40.0,25.0,11.0,3.0,3.5,[40]::profile_03
[40],CS500,Sun2022_Figure_3_digitized_AsV,18.35,0.51,1.11,0.0,0.334,0.045,0.081,28.64,40.0,25.0,2.0,3.0,1.04,[40]::profile_02
[40],CS500,Sun2022_Figure_3_digitized_AsV,18.35,0.51,1.11,0.0,0.334,0.045,0.081,28.64,40.0,25.0,3.0,3.0,1.37,[40]::profile_02
[40],CS500,Sun2022_Figure_3_digitized_AsV,18.35,0.51,1.11,0.0,0.334,0.045,0.081,28.64,40.0,25.0,4.0,3.0,1.36,[40]::profile_02
[40],CS500,Sun2022_Figure_3_digitized_AsV,18.35,0.51,1.11,0.0,0.334,0.045,0.081,28.64,40.0,25.0,5.0,3.0,0.75,[40]::profile_02
[40],CS500,Sun2022_Figure_3_digitized_AsV,18.35,0.51,1.11,0.0,0.334,0.045,0.081,28.64,40.0,25.0,6.0,3.0,0.97,[40]::profile_02
[40],CS500,Sun2022_Figure_3_digitized_AsV,18.35,0.51,1.11,0.0,0.334,0.045,0.081,28.64,40.0,25.0,7.0,3.0,0.82,[40]::profile_02
[40],CS500,Sun2022_Figure_3_digitized_AsV,18.35,0.51,1.11,0.0,0.334,0.045,0.081,28.64,40.0,25.0,8.0,3.0,1.08,[40]::profile_02
[40],CS500,Sun2022_Figure_3_digitized_AsV,18.35,0.51,1.11,0.0,0.334,0.045,0.081,28.64,40.0,25.0,9.0,3.0,0.94,[40]::profile_02
[40],CS500,Sun2022_Figure_3_digitized_AsV,18.35,0.51,1.11,0.0,0.334,0.045,0.081,28.64,40.0,25.0,10.0,3.0,0.97,[40]::profile_02
[40],CS500,Sun2022_Figure_3_digitized_AsV,18.35,0.51,1.11,0.0,0.334,0.045,0.081,28.64,40.0,25.0,11.0,3.0,0.9,[40]::profile_02
[40],CS300,Sun2022_Figure_3_digitized_AsV,23.15,2.17,0.49,0.0,1.125,0.016,0.103,11.9,40.0,25.0,2.0,3.0,5.18,[40]::profile_01
[40],CS300,Sun2022_Figure_3_digitized_AsV,23.15,2.17,0.49,0.0,1.125,0.016,0.103,11.9,40.0,25.0,3.0,3.0,5.71,[40]::profile_01
[40],CS300,Sun2022_Figure_3_digitized_AsV,23.15,2.17,0.49,0.0,1.125,0.016,0.103,11.9,40.0,25.0,4.0,3.0,6.19,[40]::profile_01
[40],CS300,Sun2022_Figure_3_digitized_AsV,23.15,2.17,0.49,0.0,1.125,0.016,0.103,11.9,40.0,25.0,5.0,3.0,5.0,[40]::profile_01
[40],CS300,Sun2022_Figure_3_digitized_AsV,23.15,2.17,0.49,0.0,1.125,0.016,0.103,11.9,40.0,25.0,6.0,3.0,4.44,[40]::profile_01
[40],CS300,Sun2022_Figure_3_digitized_AsV,23.15,2.17,0.49,0.0,1.125,0.016,0.103,11.9,40.0,25.0,7.0,3.0,4.06,[40]::profile_01
[40],CS300,Sun2022_Figure_3_digitized_AsV,23.15,2.17,0.49,0.0,1.125,0.016,0.103,11.9,40.0,25.0,8.0,3.0,4.23,[40]::profile_01
[40],CS300,Sun2022_Figure_3_digitized_AsV,23.15,2.17,0.49,0.0,1.125,0.016,0.103,11.9,40.0,25.0,9.0,3.0,4.35,[40]::profile_01
[40],CS300,Sun2022_Figure_3_digitized_AsV,23.15,2.17,0.49,0.0,1.125,0.016,0.103,11.9,40.0,25.0,10.0,3.0,4.08,[40]::profile_01
[40],CS300,Sun2022_Figure_3_digitized_AsV,23.15,2.17,0.49,0.0,1.125,0.016,0.103,11.9,40.0,25.0,11.0,3.0,4.34,[40]::profile_01
[46],nan,Su2025_SI_Table_S2,70.5,3.5,25.4,0.0,0.596,0.27,0.278,197.2,0.075,25.0,3.5,10.0,0.17,[46]::profile_01
[46],nan,Su2025_SI_Table_S2,70.5,3.5,25.4,0.0,0.596,0.27,0.278,197.2,0.075,25.0,7.0,10.0,0.15,[46]::profile_01
[46],nan,Su2025_SI_Table_S2,70.5,3.5,25.4,0.0,0.596,0.27,0.278,197.2,0.075,25.0,10.0,10.0,0.73,[46]::profile_01
[46],nan,Su2025_SI_Table_S2,70.5,3.5,25.4,0.0,0.596,0.27,0.278,197.2,0.15,25.0,3.5,10.0,0.23,[46]::profile_01
[46],nan,Su2025_SI_Table_S2,70.5,3.5,25.4,0.0,0.596,0.27,0.278,197.2,0.15,25.0,7.0,10.0,0.24,[46]::profile_01
[46],nan,Su2025_SI_Table_S2,70.5,3.5,25.4,0.0,0.596,0.27,0.278,197.2,0.15,25.0,10.0,10.0,1.4,[46]::profile_01
[46],nan,Su2025_SI_Table_S2,70.5,3.5,25.4,0.0,0.596,0.27,0.278,197.2,0.225,25.0,3.5,10.0,0.25,[46]::profile_01
[46],nan,Su2025_SI_Table_S2,70.5,3.5,25.4,0.0,0.596,0.27,0.278,197.2,0.225,25.0,7.0,10.0,0.46,[46]::profile_01
[46],nan,Su2025_SI_Table_S2,70.5,3.5,25.4,0.0,0.596,0.27,0.278,197.2,0.225,25.0,10.0,10.0,2.25,[46]::profile_01
[46],nan,Su2025_SI_Table_S2,70.5,3.5,25.4,0.0,0.596,0.27,0.278,197.2,0.3,25.0,3.5,10.0,0.29,[46]::profile_01
[46],nan,Su2025_SI_Table_S2,70.5,3.5,25.4,0.0,0.596,0.27,0.278,197.2,0.3,25.0,7.0,10.0,0.38,[46]::profile_01
[46],nan,Su2025_SI_Table_S2,70.5,3.5,25.4,0.0,0.596,0.27,0.278,197.2,0.3,25.0,10.0,10.0,3.11,[46]::profile_01
[46],nan,Su2025_SI_Table_S2,70.5,3.5,25.4,0.0,0.596,0.27,0.278,197.2,0.375,25.0,3.5,10.0,0.44,[46]::profile_01
[46],nan,Su2025_SI_Table_S2,70.5,3.5,25.4,0.0,0.596,0.27,0.278,197.2,0.375,25.0,7.0,10.0,0.61,[46]::profile_01
[46],nan,Su2025_SI_Table_S2,70.5,3.5,25.4,0.0,0.596,0.27,0.278,197.2,0.375,25.0,10.0,10.0,3.67,[46]::profile_01
[46],nan,Su2025_SI_Table_S2,70.5,3.5,25.4,0.0,0.596,0.27,0.278,197.2,0.75,25.0,3.5,10.0,0.75,[46]::profile_01
[46],nan,Su2025_SI_Table_S2,70.5,3.5,25.4,0.0,0.596,0.27,0.278,197.2,0.75,25.0,7.0,10.0,1.05,[46]::profile_01
[46],nan,Su2025_SI_Table_S2,79.2,1.1,19.3,0.0,0.167,0.183,0.187,293.5,0.075,25.0,3.5,10.0,0.29,[46]::profile_02
[46],nan,Su2025_SI_Table_S2,79.2,1.1,19.3,0.0,0.167,0.183,0.187,293.5,0.075,25.0,7.0,10.0,0.29,[46]::profile_02
[46],nan,Su2025_SI_Table_S2,79.2,1.1,19.3,0.0,0.167,0.183,0.187,293.5,0.075,25.0,10.0,10.0,0.56,[46]::profile_02
[46],nan,Su2025_SI_Table_S2,79.2,1.1,19.3,0.0,0.167,0.183,0.187,293.5,0.15,25.0,3.5,10.0,0.61,[46]::profile_02
[46],nan,Su2025_SI_Table_S2,79.2,1.1,19.3,0.0,0.167,0.183,0.187,293.5,0.15,25.0,7.0,10.0,0.61,[46]::profile_02
[46],nan,Su2025_SI_Table_S2,79.2,1.1,19.3,0.0,0.167,0.183,0.187,293.5,0.15,25.0,10.0,10.0,1.02,[46]::profile_02
[46],nan,Su2025_SI_Table_S2,79.2,1.1,19.3,0.0,0.167,0.183,0.187,293.5,0.225,25.0,3.5,10.0,0.85,[46]::profile_02
[46],nan,Su2025_SI_Table_S2,79.2,1.1,19.3,0.0,0.167,0.183,0.187,293.5,0.225,25.0,7.0,10.0,0.85,[46]::profile_02
[46],nan,Su2025_SI_Table_S2,79.2,1.1,19.3,0.0,0.167,0.183,0.187,293.5,0.225,25.0,10.0,10.0,1.32,[46]::profile_02
[46],nan,Su2025_SI_Table_S2,79.2,1.1,19.3,0.0,0.167,0.183,0.187,293.5,0.3,25.0,3.5,10.0,1.23,[46]::profile_02
[46],nan,Su2025_SI_Table_S2,79.2,1.1,19.3,0.0,0.167,0.183,0.187,293.5,0.3,25.0,7.0,10.0,1.25,[46]::profile_02
[46],nan,Su2025_SI_Table_S2,79.2,1.1,19.3,0.0,0.167,0.183,0.187,293.5,0.3,25.0,10.0,10.0,2.11,[46]::profile_02
[46],nan,Su2025_SI_Table_S2,79.2,1.1,19.3,0.0,0.167,0.183,0.187,293.5,0.375,25.0,3.5,10.0,1.58,[46]::profile_02
[46],nan,Su2025_SI_Table_S2,79.2,1.1,19.3,0.0,0.167,0.183,0.187,293.5,0.375,25.0,7.0,10.0,1.58,[46]::profile_02
[46],nan,Su2025_SI_Table_S2,79.2,1.1,19.3,0.0,0.167,0.183,0.187,293.5,0.375,25.0,10.0,10.0,2.4,[46]::profile_02
[46],nan,Su2025_SI_Table_S2,79.2,1.1,19.3,0.0,0.167,0.183,0.187,293.5,0.75,25.0,3.5,10.0,3.04,[46]::profile_02
[46],nan,Su2025_SI_Table_S2,79.2,1.1,19.3,0.0,0.167,0.183,0.187,293.5,0.75,25.0,7.0,10.0,3.04,[46]::profile_02
